Instance(503): 	 3.709778 4.214050 0.999997 
Instance(504): 	 3.763611 4.522766 0.983679 
Instance(505): 	 3.820740 4.240417 1.000000 
Instance(506): 	 3.638367 4.032776 0.999919 
Instance(507): 	 3.909729 4.515076 0.974842 
Instance(508): 	 3.663635 4.537048 0.984730 
Instance(509): 	 3.591125 4.288757 0.998941 
Instance(510): 	 3.997620 4.549133 0.926479 
Instance(511): 	 3.440613 5.096252 0.686740 
Instance(512): 	 3.694397 4.421692 0.998474 
Instance(513): 	 3.820740 4.121765 1.000000 
Instance(514): 	 3.387878 4.203064 0.935042 
Instance(515): 	 3.807556 4.303040 0.999994 
Instance(516): 	 4.059143 4.252502 1.000000 
Instance(517): 	 3.824036 4.318420 0.999987 
Instance(518): 	 3.811951 4.411804 0.998792 
Instance(519): 	 3.549377 4.215149 0.996293 
Instance(520): 	 3.471375 4.088806 0.967275 
Instance(521): 	 3.421936 4.476624 0.978286 
Instance(522): 	 3.859192 4.370056 0.999791 
Instance(523): 	 3.582336 4.325012 0.998610 
Instance(524): 	 3.720764 4.320618 0.999963 
Instance(525): 	 3.551575 4.325012 0.997050 
Instance(526): 	 3.959167 4.187683 1.000000 
Instance(527): 	 3.568054 4.257996 0.997914 
Instance(528): 	 3.680115 4.393127 0.999301 
Instance(529): 	 3.783386 4.464539 0.994758 
Instance(530): 	 3.668030 4.130554 0.999978 
Instance(531): 	 3.646057 4.395325 0.999111 
Instance(532): 	 3.397766 4.548035 0.970183 
Instance(533): 	 3.716370 4.097595 1.000000 
Instance(534): 	 3.882263 4.699646 0.800268 
Instance(535): 	 3.703186 4.561218 0.975605 
Instance(536): 	 3.989929 4.552429 0.925969 
Instance(537): 	 3.934998 4.392029 0.999459 
Instance(538): 	 3.831726 4.407410 0.998953 
Instance(539): 	 3.644958 4.289856 0.999828 
Instance(540): 	 3.541687 4.676575 0.944943 
Instance(541): 	 3.784485 4.081116 1.000000 
Instance(542): 	 3.867981 4.586487 0.935574 
Instance(543): 	 3.820740 4.470032 0.993369 
Instance(544): 	 3.844910 4.253601 1.000000 
Instance(545): 	 3.658142 4.487610 0.993469 
Instance(546): 	 3.842712 4.175598 1.000000 
Instance(547): 	 3.672424 4.351379 0.999783 
Instance(548): 	 3.741638 4.562317 0.971841 
Instance(549): 	 3.755920 4.484314 0.992381 
Instance(550): 	 3.761414 4.245911 1.000000 
Instance(551): 	 4.048157 4.621643 0.763296 
Instance(552): 	 3.937195 4.177795 1.000000 
Instance(553): 	 3.555969 4.353577 0.997306 
Instance(554): 	 3.618591 4.028381 0.999714 
Instance(555): 	 3.939392 4.160217 1.000000 
Instance(556): 	 3.356018 4.243713 0.922478 
Instance(557): 	 3.687805 4.396423 0.999247 
Instance(558): 	 3.739441 4.396423 0.999291 
